QC3;Quebec Income Tax for inherited wealth;0.24500
RI1;Rhode Island Income Tax for children;0.00000
SC1;South Carolina Income Tax for blue collar workers;0.02500
SC2;South Carolina Income Tax for school teachers;0.03400
SC3;South Carolina Income Tax for doctors and lawyers;0.04300
SC4;South Carolina Income Tax for the masses;0.05200
SC5;South Carolina Income Tax for the elderly;0.06100
SC6;South Carolina Income Tax for inherited wealth;0.07000
SD1;South Dakota Income Tax for children;0.00000
SK1;Saskatchewan Income Tax for children;0.00000
SK2;Saskatchewan Income Tax for blue collar workers;0.16000
SK3;Saskatchewan Income Tax for the masses;0.27500
SK4;Saskatchewan Income Tax for school teachers;0.29500
SK5;Saskatchewan Income Tax for the elderly;0.35500
SK6;Saskatchewan Income Tax for doctors and lawyers;0.38000
SK7;Saskatchewan Income Tax for the unemployed;0.42000
SK8;Saskatchewan Income Tax for inherited wealth;0.45000
TN1;Tennesse Income Tax for the masses;0.00000
TX1;Texas Income Tax for the masses;0.00000
UT1;Utah Income Tax for the masses;0.02300
UT2;Utah Income Tax for school teachers;0.03240
UT3;Utah Income Tax for the elderly;0.04180
UT4;Utah Income Tax for blue collar workers;0.05120
UT5;Utah Income Tax for doctors and lawyers;0.06060
UT6;Utah Income Tax for inherited wealth;0.07000
VA1;Virginia Income Tax for the masses;0.02000
VA2;Virginia Income Tax for the elderly;0.03250
VA3;Virginia Income Tax for blue collar workers;0.04500
VA4;Virginia Income Tax for inherited wealth;0.05750
VT1;Vermont Income Tax for school teachers;0.00000
WA1;Washington Income Tax for doctors and lawyers;0.00000
WI1;Wisconsin Income Tax for blue collar workers;0.04730
WI2;Wisconsin Income Tax for the elderly;0.05400
WI3;Wisconsin Income Tax for doctors and lawyers;0.06080
WI4;Wisconsin Income Tax for inherited wealth;0.06750
WV1;West Virginia Income Tax for school teachers;0.03000
WV2;West Virginia Income Tax for the masses;0.03880
WV3;West Virginia Income Tax for doctors and lawyers;0.04750
WV4;West Virginia Income Tax for the elderly;0.05630
WV5;West Virginia Income Tax for inherited wealth;0.06500
WY1;Wyoming Income Tax for blue collar workers;0.00000
YT1;Yukon Income Tax for the masses;0.00000
YT2;Yukon Income Tax for school teachers;0.17470
YT3;Yukon Income Tax for the elderly;0.23360
YT4;Yukon Income Tax for the unemployed;0.26360
YT5;Yukon Income Tax for blue collar workers;0.23360
YT6;Yukon Income Tax for everyone else;0.32120
YT7;Yukon Income Tax for those driving SUVs;0.37960
YT8;Yukon Income Tax for doctors and lawyers;0.38550
YT9;Yukon Income Tax for inherited wealth;0.43010
